roll_no,Class,Section,Branch
4918,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4974,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
5027,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
5018,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
5031,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4994,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4765,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4807,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4787,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4549,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4072,Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4530,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4555,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4511,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4632,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4623,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4618,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4651,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4378,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4444,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4429,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4358,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4283,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4285,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4792,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4795,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4763,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4716,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
4734,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
5043,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
5081,KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
5083,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
5142,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4981,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4741,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4226,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4301,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4342,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4360,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4339,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4454,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4381,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4395,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4591,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4654,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4481,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4567,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4563,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4568,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
3714,KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
4513,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4441,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4465,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4592,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4382,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4744,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4757,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4770,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4808,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4713,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4794,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4812,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4840,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4848,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4863,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4861,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
5058,KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
4707,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4702,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4772,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4742,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4457,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4344,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4343,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4308,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4634,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4627,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4652,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4656,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4668,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4671,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4474,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
4092,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
5124,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
5113,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
5044,KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
5178,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
3022,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4491,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4514,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4479,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4633,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4621,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4258,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4364,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4345,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4322,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4375,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4367,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4370,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4762,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4698,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4710,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4717,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4865,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4876,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
5040,KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
4976,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
4288,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
4296,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
4295,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
2716,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
3952,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
2063,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
2219,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1976,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
2050,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1904,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1917,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1931,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1861,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1822,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1824,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1789,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1698,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1713,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1719,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1235,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1003,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1153,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1285,Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
1233,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1133,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1729,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1625,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1782,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1857,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1926,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
1849,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
2256,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4185,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
3027,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4435,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4602,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4684,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4508,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4932,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4817,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4690,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
4781,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
5145,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
5085,Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
5141,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
4775,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
4685,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
4372,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
2809,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
4101,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
3822,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
2275,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
2408,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
2560,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1913,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1922,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1802,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1774,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1629,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1695,Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
1617,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1630,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1667,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1823,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1888,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2036,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1609,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1586,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1281,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1400,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
1412,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2500,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2322,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2210,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
3986,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
4033,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
4030,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2810,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2889,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2975,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
2986,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
3747,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
5025,Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
4752,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
4190,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
4619,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
4476,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
2991,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
2209,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
2384,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1414,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1415,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1224,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1448,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1476,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1037,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1596,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1304,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1998,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1886,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1703,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
1722,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
5125,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
5088,Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
5093,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
3067,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4145,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
3878,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4489,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4502,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4484,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4200,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4210,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4218,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4225,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4254,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4371,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4384,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4304,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4284,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4961,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4938,Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
4913,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4748,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4314,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4306,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4326,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4328,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4214,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4253,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4453,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4004,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4080,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4034,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4142,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4146,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4128,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4189,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4165,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4065,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
4078,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
3809,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
2855,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
2482,Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
3761,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4172,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4118,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4150,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
3964,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4002,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
3924,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
3852,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4488,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4492,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4548,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4564,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4635,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4235,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4219,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4305,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4309,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4307,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
5060,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
4996,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
5156,Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
5180,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
5089,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4289,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4416,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4404,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4419,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4427,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4379,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4352,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4275,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4562,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
3836,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
3902,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
3940,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4100,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4122,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4097,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4069,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4105,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4106,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4064,Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
4063,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4102,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4099,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
3858,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4515,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4501,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4636,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4625,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4206,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4394,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4294,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4383,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4430,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4334,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
4380,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
5106,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
5153,Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
5122,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4844,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4898,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4967,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4415,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4631,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4601,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4516,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
3847,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
3920,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4178,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
4180,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
3799,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
3801,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
3824,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
2952,Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
3804,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
3783,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
3802,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
3725,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4066,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
3903,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
3803,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4459,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4610,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4410,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4337,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4796,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4670,Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
4739,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
4729,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
4896,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
4907,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
5033,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
4280,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
4678,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
4585,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
3728,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
3029,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2970,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2917,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2937,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2869,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2908,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2841,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2738,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2794,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2727,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2732,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2819,Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
2671,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2572,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2478,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2253,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2797,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2831,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2873,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2921,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
2954,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
3723,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
3869,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
4058,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
4108,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
4134,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
4646,Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
